rider;1970;1972;1974;1976;1977;1979;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Tonkov Pavel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre-Panaria;Lampre-Panaria;null;null;null;Mapei - Quickstep;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Torres Roberto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Festina - Lotus;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Munoz Federico;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme;Kelme;Kelme-Artiach-Costa Blanca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Jonker Patrick;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Novemail - Histor;null;O.N.C.E.;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Voskamp Bart;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;TVM - Bison Kit;TVM;TVM - Farm Frites;TVM - Farm Frites;TVM - Farm Frites;null;Polti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bertolini Alessandro;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Carrera Jeans - Tassoni;Carrera Jeans - Tassoni;Brescialat - Oyster;null;null;null;null;null;null;Alessio;Alessio - Bianchi;Domina Vacanze;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Buenahora Hernan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme;Kelme;Kelme-Artiach-Costa Blanca;Kelme - Costa Blanca;Vitalicio Seguros;Vitalicio Seguros - Grupo Generali;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pellicioli Oscar;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti - Vaporetto;Polti - Granarolo - Santini;Carrera Jeans;Mercatone Uno;null;Polti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bottaro Dario;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;Gewiss - Ballan;Gewiss - Ballan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Camargo Angel Yesid;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme;Kelme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Garcia Ignacio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Serpellini Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre-Panaria;Lampre-Panaria;null;null;null;Lampre - Daikin - Colnago;null;Lampre - Daikin;Lampre - Daikin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Magalhães Azevedo Wanderley;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lotto - Vetta - Caloi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lanfranchi Paolo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mercatone Uno - Bianchi;Brescialat;Mapei-GB;null;null;Mapei - Quickstep;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Vermey Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Chazal - MBK - König;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zen Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre-Panaria;null;Roslotto-ZG Mobili;Roslotto-ZG Mobili;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Casartelli Fabio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Perona Davide;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre-Panaria;Gewiss - Ballan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Galletti Alessio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre-Panaria;Lampre-Panaria;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Martinelli Gianvito;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti - Vaporetto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Furlan Giorgio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;null;null;Saeco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fontanelli Fabiano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;Mercatone Uno;null;Mercatone Uno - Albacom;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gontchenkov Alexander;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre-Panaria;Lampre-Panaria;Roslotto-ZG Mobili;Roslotto-ZG Mobili;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Baldato Fabio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;MG Maglificio - Technogym;MG Maglificio - Technogym;Riso Scotti - MG;null;null;Fassa Bortolo;Fassa Bortolo;Alessio;Alessio - Bianchi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lombardi Giovanni;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti - Granarolo - Santini;null;Team Telekom;null;null;null;null;null;null;null;CSC ProTeam;CSC ProTeam;null;null;null;null;null;null;null;null;null;null;null;null;null
Berzin Yewgeni;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;Gewiss - Ballan;Batik - Del Monte;La Française des Jeux;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Baldinger Dirk;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti - Granarolo - Santini;Polti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Piziks Arvis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Novell Software - Decca;Rabobank ProTeam;null;null;null;MemoryCard - Jack & Jones;null;CSC ProTeam - Tiscali;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gotti Ivan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;Gewiss - Ballan;Saeco;null;Polti;null;null;Alessio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Politano Antonio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mercatone Uno;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Colombo Gabriele;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;null;null;null;Cantina Tollo - Alexia Alluminio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Michaelsen Lars;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Festina - Lotus;null;null;TVM - Farm Frites;La Française des Jeux;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Frattini Francesco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;Gewiss - Ballan;Batik - Del Monte;Team Telekom;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Podenzana Massimo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat;Carrera Jeans;Mercatone Uno;Mercatone Uno;null;Mercatone Uno - Albacom;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Loda Nicola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;null;MG Maglificio - Technogym;null;null;null;Fassa Bortolo;Fassa Bortolo;Fassa Bortolo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Manzoni Mario;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bouvard Gilles;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Chazal - MBK - König;Lotto - Isoglass;null;null;null;null;Jean Delatour;null;null;R.a.g.t Semence - Mg Rover;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Donati Massimo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mercatone Uno;Saeco - AS Juvenes San Marino;null;Saeco Macchine da Caffe' - Cannondale;null;null;null;Tacconi Sport;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rojas Mariano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;O.N.C.E.;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bettin Mauro;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AKI-Gipiemme;Refin - Mobilvetta;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lecchi Angelo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat;null;MG Maglificio - Technogym;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ozers Kaspars;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Motorola;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mengin Christophe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Chazal - MBK - König;null;La Française des Jeux;La Française des Jeux;La Française des Jeux;La Française des Jeux;La Française des Jeux;La Française des Jeux;Fdjeux.com;Fdjeux.com;Française des Jeux;Française des Jeux;null;null;null;null;null;null;null;null;null;null;null;null;null
Totschnig Georg;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti - Granarolo - Santini;null;Team Telekom;Team Telekom;Team Telekom;null;null;null;Gerolsteiner;Gerolsteiner;Gerolsteiner;Gerolsteiner;null;null;null;null;null;null;null;null;null;null;null;null;null
Dotti Fausto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Vidal José Angel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme;Kelme-Artiach-Costa Blanca;Kelme - Costa Blanca;Kelme - Costa Blanca;Kelme - Costa Blanca;Kelme - Costa Blanca;Kelme - Costa Blanca;Kelme - Costa Blanca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Brasi Rossano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti - Granarolo - Santini;Polti;Polti;Polti;Polti;Polti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Milesi Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat;null;null;null;null;null;Domo - Farm Frites;null;Vini Calderola - So.di;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Simoni Gilberto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AKI-Gipiemme;null;MG Maglificio - Technogym;null;null;null;null;null;Saeco;Saeco;null;Saunier Duval - Prodir;null;null;null;null;null;null;null;null;null;null;null;null;null
Zanette Denis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AKI-Gipiemme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Diaz de Otazu  Luis Maria;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;O.N.C.E.;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fagnini Gian Matteo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mercatone Uno;Saeco - AS Juvenes San Marino;Saeco;Saeco Macchine da Caffe' - Cannondale;Saeco - Cannondale;Team Telekom;null;Team Telekom;null;Domina Vacanze;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Aguirre Julio César;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme;Kelme-Artiach-Costa Blanca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Talmant Gilles;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Castorama;Aubervilliers93-Peugeot;BigMat - Auber 93;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gorini Gianluca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AKI-Gipiemme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Barbero Sergio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Carrera Jeans - Tassoni;null;null;Mercatone Uno;Mercatone Uno - Bianchi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Foucachon Rene;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AKI-Gipiemme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Radaelli Mauro;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat;Brescialat - Oyster;null;null;null;Vini Caldirola - Sidermec;null;Tacconi Sport;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hoffman Tristan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;TVM;null;TVM - Farm Frites;null;null;MemoryCard - Jack & Jones;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Blijlevens Jeroen;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;TVM;TVM - Farm Frites;TVM - Farm Frites;TVM - Farm Frites;null;Polti;Lotto - Adecco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Belli Wladimir;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre-Panaria;Panaria - Vinavil;null;null;Festina - Lotus;null;Fassa Bortolo;Fassa Bortolo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Miranda Carmelo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Banesto;Banesto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Castano Hector Manuel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Kelme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Traversoni Mario;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Carrera Jeans;Mercatone Uno;Mercatone Uno;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mattan Nico;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lotto - Isoglass;null;null;null;Cofidis;Cofidis;Cofidis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Savoldelli Paolo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Roslotto-ZG Mobili;null;null;Saeco - Cannondale;Saeco;null;null;null;null;Discovery Channel;Discovery Channel;Astana;null;null;null;null;null;null;null;null;null;null;null;null
Gualdi Mirko;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti;Polti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hincapie George;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Motorola;US Postal Service;US Postal Service;US Postal Service;US Postal Service;US Postal Service;US Postal Service;US Postal Service;US Postal Service;Discovery Channel;Discovery Channel;Discovery Channel;Team Columbia;Team Columbia - HTC;BMC Racing Team;BMC Racing Team;BMC Racing Team;null;null;null;null;null;null;null
Camin Claudio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat - Oyster;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Heulot Stephane;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;GAN;La Française des Jeux;La Française des Jeux;La Française des Jeux;La Française des Jeux;BigMat - Auber 93;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ullrich Jan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Telekom;Team Telekom;Team Telekom;null;Team Telekom;Team Telekom;null;Team Bianchi;T-Mobile Team;T-Mobile Team;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cerioli Ivan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
van Petegem Peter;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;TVM - Farm Frites;TVM - Farm Frites;TVM - Farm Frites;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Luttenberger Peter;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Carrera Jeans;Rabobank ProTeam;null;null;O.N.C.E. - Deutsche Bank;null;Tacconi Sport;Team CSC;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Camenzind Oscar;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Panaria - Vinavil;Mapei-GB;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fincato Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Roslotto-ZG Mobili;Roslotto-ZG Mobili;null;Mercatone Uno - Bianchi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Piccoli Mariano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat - Oyster;null;null;Lampre - Daikin - Colnago;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sergio Rodrigues Orlando;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Banesto;Banesto;Banesto;null;Banesto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fois Valentino;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Panaria - Vinavil;Mapei-GB;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guerini Giuseppe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti;Polti;null;Team Telekom;Team Telekom;Team Telekom;Team Telekom;Team Telekom;T-Mobile Team;T-Mobile Team;T-Mobile Team;null;null;null;null;null;null;null;null;null;null;null;null;null
Moreau Christophe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Festina - Lotus;Festina - Lotus;Festina - Lotus;Festina - Lotus;Festina - Lotus;Festina;Crédit Agricole;Crédit Agricole;Crédit Agricole;Crédit Agricole;AG2R Prévoyance;AG2R Prévoyance;Agritubel;Agritubel;Caisse d'Epargne;null;null;null;null;null;null;null;null;null
Boogerd Michael;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;Rabobank ProTeam;null;null;null;null;null;null;null;null;null;null;null;null
Arrieta José Luis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Banesto;Banesto;Banesto;Banesto;Banesto;null;null;null;null;Illes Balears - Caisse d'Epargne;AG2R Prévoyance;AG2R Prévoyance;AG2R La Mondiale;AG2R La Mondiale;null;null;null;null;null;null;null;null;null;null
Fernández Manuel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Mapei-GB;null;null;Mapei - Quickstep;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Saugrain Cyril;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Aubervilliers93-Peugeot;Cofidis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Knaven Servais;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;TVM - Farm Frites;TVM - Farm Frites;TVM - Farm Frites;null;Farm Frites;Domo - Farm Frites;Domo - Farm Frites;Quickstep - Davitamon;Quickstep - Davitamon;Quickstep - Innergetic;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Roux Laurent;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;TVM - Farm Frites;TVM - Farm Frites;TVM - Farm Frites;null;null;Jean Delatour;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zanini Stefano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Gewiss - Ballan;null;Mapei - Bricobi;null;Mapei - Quickstep;Mapei - Quickstep;null;Saeco;Quickstep - Davitamon;Quickstep - Innergetic;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guesdon Frédéric;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti;La Française des Jeux;La Française des Jeux;La Française des Jeux;La Française des Jeux;La Française des Jeux;La Française des Jeux;null;Fdjeux.com;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
García Felix Manuel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Festina - Lotus;null;null;null;Festina - Lotus;Festina;null;Team Bianchi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lesniewski Marek;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Aubervilliers93-Peugeot;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Saligari Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;Casino - C'est votre équipe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pumar Omar;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat - Oyster;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Piepoli Leonardo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Refin - Mobilvetta;null;Saeco Macchine da Caffe' - Cannondale;null;Banesto;iBanesto.com;null;null;null;Saunier Duval - Prodir;null;null;Scott - American Beef;null;null;null;null;null;null;null;null;null;null;null
Bartoli Michele;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;MG Maglificio - Technogym;null;null;Mapei - Quickstep;Mapei - Quickstep;null;null;Team CSC;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Biasci Simone;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saeco - AS Juvenes San Marino;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fleischer Thomas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lotto - Isoglass;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pistore Roberto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;MG Maglificio - Technogym;null;Riso Scotti - MG;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cattai Stefano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Roslotto-ZG Mobili;null;null;Polti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Genty Laurent;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Aubervilliers93-Peugeot;BigMat - Auber 93;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fornaciari Paolo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saeco - AS Juvenes San Marino;Saeco;Saeco Macchine da Caffe' - Cannondale;null;null;Mapei - Quickstep;null;Saeco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Vasseur Cédric;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;GAN;GAN;GAN;Crédit Agricole;US Postal Service;null;Cofidis;Cofidis;null;Cofidis, le Crédit par Téléphone;Quickstep - Innergetic;Quickstep - Innergetic;null;null;null;null;null;null;null;null;null;null;null;null
Imanaka Daisuke;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Polti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sunderland Scott;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lotto - Isoglass;null;null;null;null;null;null;null;Alessio - Bianchi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Van Hyfte Paul;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lotto - Isoglass;Lotto - Mobistar;Lotto - Mobistar;null;Lotto - Adecco;Lotto - Adecco;CSC ProTeam - Tiscali;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cuesta Iñigo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;O.N.C.E.;O.N.C.E.;null;null;null;Cofidis;Cofidis;Cofidis;null;null;null;CSC ProTeam;null;Cervelo Test Team;null;null;null;null;null;null;null;null;null;null
Bouyer Franck;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Agrigel-Lacreause-Fenioux;null;La Française des Jeux;null;Bonjour - Toupargel;Bonjour;Bonjour;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Frattini Cristiano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Brescialat - Oyster;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
